
haematolysis haematolyses
haematoma haematomata
haematozoon haematozoa
haemodialysis haemodialyses
haemolysis haemolyses
haemoptysis haemoptyses
haeres haeredes
haftarah haftaroth
hagfish hagfishes
haggada haggadas
haggada haggadoth
haircut haircuts
hair hairs
hajj hajjes
haler haleru
half halves
halfpenny halfpence
hallah challoth
hallah hallot
hallah halloth
hall halls
hallux halluces
halo haloes
halter halteres
hammer hammers
hamulus hamuli
hand hands
haphtarah haphtaroth
harbor harbors
haredi haredim
harmony harmonies
haruspex haruspices
hasid hasidim
hassid hassidim
hate hates
hat hats
haustellum haustella
haustorium haustoria
hazzan hazzanim
head heads
health health
hearing hearings
heart hearts
heat heats
hectocotylus hectocotyli
heder hadarim
heldentenor heldentenore
heliozoan heliozoa
helix helices
help helps
hematolysis hematolyses
hematoma hematomata
hematozoon hematozoa
hemelytron hemelytra
hemielytron hemielytra
hemodialysis hemodialyses
hemolysis hemolyses
hemoptysis hemoptyses
hendecahedron hendecahedra
hen hens
heraclid heraclidae
heraklid heraklidae
herbarium herbaria
herma hermai
herm hermae
hernia herniae
hero heroes
herr herren
hetaera hetaerae
hetaira hetairai
hibernaculum hibernacula
hieracosphinx hieracosphinges
hill hills
hilum hila
hilus hili
himation himatia
hippocampus hippocampi
hippopotamus hippopotami
his his
history histories
hobo hoboes
hogfish hogfishes
hole holes
holiday holidays
home homes
homunculus homunculi
honey honeys
honorarium honoraria
hoof hoofs
hoof hooves
hook hooks
hope hopes
horn horns
horologium horologia
horse horses
hose hose
hospital hospitals
hot hots
hour hours
house houses
housewife housewives
humerus humeri
humor humors
hydra hydrae
hydrant 	I hydrant 	Is
hydromedusa hydromedusae
hydrozoan hydrozoa
hymenium hynia
hymenium hyniums
hymenopteran hymenoptera
hypanthium hypanthia
hyperostosis hyperostoses
hypha hyphae
hypnosis hypnoses
hypochondrium hypochondria
hypogastrium hypogastria
hypogeum hypogea
hypophysis hypophyses
hypostasis hypostases
hypothalamus hypothalami
hypothesis hypotheses
hyrax hyraces
iamb iambi
ibex ibices
ice ices
ichthyosaur ichthyosauruses
ichthyosaurus ichthyosauri
icicle icicles
iconostas iconostases
icosahedron icosahedra
idea ideas
